route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Tsawwassen Heights/Bridgeport,3,,,TL,6742,,,602
Knight/Downtown,3,,,TL,6626,,,022
Brentwood Station/UBC,3,,,TL,6627,,,025
Metrotown Station/Stanley Park,3,,,TL,6624,,,019
Maple Meadows Station/Langley Centre,3,,,TL,12940,,,595
29th Avenue Station/Arbutus,3,,,TL,6622,,,016
Oak/Downtown,3,,,TL,6623,,,017
Granville/Downtown,3,,,TL,6620,,,010
Cambie/Olympic Village Station,3,,,TL,6621,,,015
Holdom Station/Edmonds Station,3,,,TL,33292,,,133
Anderson Creek/Haney Place/Port Haney St,3,,,TL,31822,,,741
Rock Ridge/Haney Place/Port Haney Station,3,,,TL,31821,,,733
Clayton Heights/Langley Centre,3,,,TL,31820,,,372
White Rock/White Rock South/Guildford,3,,,TL,7321,,,375
Capitol Hill/Hastings @ Gilmore,3,,,TL,7322,,,132
Newton Exchange/Surrey Central Station,3,,,TL,6708,,,325
Haney/Maple Ridge East/Coquitlam Station,3,,,TL,6749,,,701
Ladner Exchange/Scott Road Station,3,,,TL,6748,,,640
Lonsdale Quay/Delbrook,3,,,TL,36799,,,249
UBC/Downtown,3,,,TL,6635,,,044
Thornhill/Haney Place,3,,,TL,6804,,,748
Ruskin/Haney Place,3,,,TL,6805,,,749
Coquitlam Central Station/Princeton,3,,,TL,30584,,,191
Downtown/SFU NightBus,3,,,TL,6838,,,N35
UBC Exchange/Wesbrook Village,3,,,TL,33538,,,068
Metrotown/Brighouse Station,3,,,TL,6730,,,430
UBC/VCC-Clark Station,3,,,TL,6638,,,084
Meadowtown/Bonson,3,,,TL,34541,,,722
Meadowtown/Fraser Way,3,,,TL,34540,,,719
Langley Centre/Surrey Central Station,3,,,TL,6737,,,501
Langley Centre/Surrey Central Station,3,,,TL,6738,,,502
Walnut Grove/Surrey Central Station,3,,,TL,6739,,,509
Joyce Station/Crown,3,,,TL,6633,,,041
Carvolth Exchange/Lougheed Station,3,,,TL,20667,,,555
Waterfront Station/False Creek South,3,,,TL,6637,,,050
Metrotown Station/Dunbar Loop/UBC,3,,,TL,6636,,,049
Kingswood/22nd St Station,3,,,TL,9745,,,418
Guildford/Surrey Central Station,3,,,TL,6709,,,326
Victoria/Downtown,3,,,TL,6625,,,020
SeaBus,4,FFFFFF,746661,TL,6771,,,
Beach Grove/Bridgeport,3,,,TL,6743,,,603
Coquitlam Central Station/White Pine Beach,3,,,TL,7509,,,150
