stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.160274,1,61569,-122.922146,11629,https://translink.ca/schedules-and-maps/stop/61569/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61569,,,Westbound Nordel Way @ Brooke Rd,0,BUS ZN
49.160605,1,61568,-122.920855,11628,https://translink.ca/schedules-and-maps/stop/61568/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61568,,,Eastbound Nordel Way @ Brooke Rd,0,BUS ZN
49.194833,2,61874,-122.550018,11979,https://translink.ca/schedules-and-maps/stop/61874/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61874,,,Westbound McClure Dr @ 243 St,0,BUS ZN
49.21369,2,61865,-122.678318,11978,https://translink.ca/schedules-and-maps/stop/61865/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61865,,,Southbound Bonson Rd @ 116A Ave,0,BUS ZN
49.219079,2,61861,-122.69135,11973,https://translink.ca/schedules-and-maps/stop/61861/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61861,,,Westbound 119 Ave @ 19100 Block,0,BUS ZN
49.195789,2,61873,-122.553666,11972,https://translink.ca/schedules-and-maps/stop/61873/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61873,,,Westbound McClure Dr @ 106 Ave,0,BUS ZN
49.194721,2,61872,-122.55298,11971,https://translink.ca/schedules-and-maps/stop/61872/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61872,,,Eastbound McClure Dr @ 24100 Block,0,BUS ZN
49.195365,2,61876,-122.54663,11977,https://translink.ca/schedules-and-maps/stop/61876/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61876,,,Westbound McClure Dr @ 244 St,0,BUS ZN
49.216944,2,61862,-122.683861,11976,https://translink.ca/schedules-and-maps/stop/61862/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61862,,,Southbound Blakely Rd @ Hammond Rd,0,BUS ZN
49.195262,2,61880,-122.541457,11975,https://translink.ca/schedules-and-maps/stop/61880/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61880,,,Eastbound McClure Dr @ 245B St,0,BUS ZN
49.194828,2,61879,-122.542889,11974,https://translink.ca/schedules-and-maps/stop/61879/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61879,,,Westbound McClure Dr @ 245 St,0,BUS ZN
49.22963,1,,-123.012182,PTSEN,,99940,,Patterson Station East Concourse North Entrance,2,
49.229519,1,,-123.012298,PTSES,,99940,,Patterson Station East Concourse South Entrance,2,
49.180234,2,52381,-122.933974,2405,https://translink.ca/schedules-and-maps/stop/52381/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=52381,,,Westbound Belgrave Way @ Caldew St,0,BUS ZN
49.212279,1,,-122.958934,EDSNE,,99943,,Edmonds Station North Entrance,2,
49.146227,1,57253,-122.59901,7324,https://translink.ca/schedules-and-maps/stop/57253/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57253,,,Southbound Glover Rd @ 79 Ave,0,BUS ZN
